अइया	əɪjaː
एकजुटता	eːkədʒʊʈəʈaː
ग्रान्ट	ɡɾaːnʈ
जागने	dʒaːɡəneː
तालाबों	ʈaːlaːbõ
निहायत	nɪɦaːjət
पकता	pəkəʈaː
पब्लिक	pəblɪk
परिसीमन	pəɾɪsiːmən
पाताल	paːʈaːl
पीएचईडी	piːeːtʃəiːɖiː
पौने	pɔːneː
प्राइस	pɾaːɪs
फर्नीचर	pʰərniːtʃəɾ
फ़र्नीचर	fərniːtʃəɾ
फ़ूड	fuːɖ
फूफा	pʰuːpʰaː
फूफाजी	pʰuːpʰaːdʒiː
फूर्ती	pʰuːɾʈiː
फ्रिज	pʰɾɪdʒ
फ्रिसबी	pʰɾɪsəbiː
फ्रिसबीका	pʰɾɪsəbiːkaː
फ्री	pʰɾiː
फ्रीकशो	pʰɾiːkəʃoː
फ्रीकशोकहाँ	pʰɾiːkəʃoːkəɦã
फ्रीकशोने	pʰɾiːkəʃoːneː
फ्रीका	pʰɾiːkaː
बदलने	bədələneː
बदला	bədəlaː
बलिहारी	bəlɪɦaːɾiː
बलूचिस्तान	bəluːtʃɪsʈaːn
बलेथा	bəleːtʰaː
बलेनो	bəleːnoː
बलैया	bəlɛːjaː
बलोन्मत्त	bəloːnmətt
बलों	bəlõ
बिखरा	bɪkʰəɾaː
बिखराब	bɪkʰəraːb
बेगानापन	beːɡaːnaːpən
पाथती	paːtʰəʈiː
मिस्टेकन	mɪsʈeːkən
जयराम	dʒəjəɾaːm
थरुहट	tʰəɾʊɦəʈ
तां	ʈã
जलार्पण	dʒəlaːɾpəɳ
करावेंगे	kəɾaːʋẽːɡeː
चलोमुन्नी	tʃəloːmʊnniː
आर्द्र	aːɾdər
ठहरे	ʈʰəɦəɾeː
पहुंचाई	pəɦũtʃaːiː
सिकोडकर	sɪkoːɖəkəɾ
अच्तुराल्ली	ətʃːʈʊɾaːlliː
सराहा	səɾaːɦaː
कागजों	kaːɡədʒõ
जरूरत	dʒəɾuːɾət
बेकरार	beːkəraːɾ
बवार्ची	bəʋaːɾtʃiː
मैथिली	mɛːtʰɪliː
क्रूज	kəruːdʒ
मामा	maːmaː
होरी	ɦoːɾiː
रूखी	ɾuːkʰiː
तमासा	təmaːsaː
शोहदापन	ʃoːɦədaːpən
कलैय्ल	kəlɛːjl
झिटकार	dʒʰɪʈəkaːɾ
चंदे	tʃə̃deː
सरगर्मियां	səɾəɡərmɪjã
आरएएफ	aːɾəeːeːpʰ
यूपी	juːpiː
आयरलैंड	aːjəɾəlɛ̃ɖ
जीआरपी	dʒiːaːɾəpiː
भूखंड	bʰuːkʰə̃ɖ
प्रिंसेस	pɾiː̃seːs
अग्रेज	əɡɾeːdʒ
परचे	pəɾətʃeː
डी.आई.जी.	ɖiː aːiː dʒiː
संगदिल	sə̃ɡədɪl
खोपड़ी	kʰoːpəɽiː
पीछेवाला	piːtʃʰeːʋaːlaː
सीक्रेट	siːkəreːʈ
बडाबल	bəɖaːbəl
